TC ID,Test Type,Test Case Name,Description,Action,Expected Result,Test Repository Path,Status,Components,User Story,Priority,Scenario Type
1,Manual,"TC01_Verify Optional Accident Benefit Label_Fleet_ProductModel_AC1","Validate the coverage category label and coverage/term configuration for Optional Accident Benefit","1. Login and navigate to Policy coverages under Product Model","1. User sees coverage category labeled ""Optional Accident Benefit"" and listed coverages match product model specification","/workspaces/OptimusCore",Done,Fleet Product Model,CCAT-25262,High,Positive
1,,,,"2. Inspect coverage terms for Optional Accident Benefit","2. Coverage terms are displayed and configured as specified in the product model (columns referenced)",,,,,,
1,,,,"3. Verify visibility of changes highlighted by Jira 25262 columns","3. All changes highlighted in columns I,K,O,T,AB,AT,AV are visible in the UI",,,,,,
2,Manual,"TC02_Verify Bundle Options Displayed_Fleet_ProductModel_AC2","Validate the three bundle options display as Coverage under Product Model","1. Navigate to Product Model -> Coverage definitions","1. User sees Bundle 1, Bundle 2 and Bundle 3 listed as Coverage (as per Column K)","/workspaces/OptimusCore",Done,Fleet Product Model,CCAT-25262,High,Positive
2,,,,"2. Expand each bundle to view components","2. Bundle components match the definitions: Bundle 1 - Home Care + Death + Funeral + Other Expenses; Bundle 2 - Driver + Caregiver; Bundle 3 - Enhanced",,,,,,
3,Manual,"TC03_Verify New Coverages Availability_By Effective Date_Fleet_ProductModel_AC2_date","Validate new coverages are available only on/after July 1, 2026","1. Create or open submission and set policy term effective date to 2026-07-01","1. New coverages (Non-Earner Benefit, Caregiver Benefit, Lost Education Expenses, Expenses of Visitors, Housekeeping & Home Maintenance, Damage to Personal Items, Death Benefit, Funeral Benefit, Income Replacement option 400) are available for selection","/workspaces/OptimusCore",Done,Fleet Product Model,CCAT-25262,High,Positive
3,,,,"2. Set policy term effective date to a date before 2026-07-01","2. The new coverages are NOT available for selection (they are hidden/disabled)",,,,,,
4,Manual,"TC04_Verify Expiry Of Existing Coverages_On/After Effective Date_Fleet_ProductModel_AC4","Validate specified existing coverages expire on/after July 1, 2026","1. Set policy term effective date to 2026-07-01","1. Caregiver, Housekeeping & Home Maintenance; Death & Funeral coverages are expired/removed as per product model","/workspaces/OptimusCore",Done,Fleet Product Model,CCAT-25262,High,Positive
4,,,,"2. Set effective date before 2026-07-01 and verify","2. The above coverages remain available when effective date is before July 1, 2026",,,,,,
5,Manual,"TC05_Verify Existing Coverages_No Change_Fleet_ProductModel_AC5","Validate existing coverages remain unchanged across effective dates","1. Navigate to Policy coverages and inspect: Medical, Rehabilitation and Attendant Care Benefit; Catastrophic Impairment Benefit; Dependent Care; Indexation Benefit","1. All listed existing coverages are present and unchanged in configuration and limits regardless of effective date","/workspaces/OptimusCore",Done,Fleet Product Model,CCAT-25262,High,Positive
5,,,,"2. For effective date on/after 2026-07-01 verify no unintended expiry","2. The listed existing coverages remain active and unchanged",,,,,,
6,Manual,"TC06_Verify OPCF 47 Expiry_On/After Effective Date_Fleet_ProductModel_AC6","Validate OPCF 47 is expired for policy terms on/after July 1, 2026 under Exclusions & Conditions","1. Open Exclusions & Conditions for a policy with effective date 2026-07-01","1. OPCF 47 (Agreement not to Rely on SABS Priority of Payment Rules) is expired/removed as an available condition","/workspaces/OptimusCore",Done,Fleet Product Model,CCAT-25262,High,Positive
6,,,,"2. Open Exclusions & Conditions for a policy with effective date before 2026-07-01","2. OPCF 47 remains present/attachable for policies effective before July 1, 2026",,,,,,
7,Manual,"TC07_Verify OPCF 47R Attachment_On/After Effective Date_Fleet_ProductModel_AC7","Validate OPCF 47R is attached for policy terms on/after July 1, 2026 under Exclusions & Conditions","1. Open Exclusions & Conditions for a policy with effective date 2026-07-01","1. OPCF 47R is automatically attached/available for attachment (mapping/inference handled in separate forms story)","/workspaces/OptimusCore",Done,Fleet Product Model,CCAT-25262,High,Positive
7,,,,"2. Confirm behavior for policy effective date before 2026-07-01","2. OPCF 47R is not attached for policies effective before July 1, 2026",,,,,,